UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100104,0,0,1173,Pr101559,Windows,Pr101559,0,0
U100105,4,4,314,pr100017,Windows,Product101,10,11
U100109,1,2,43,Pr100025,Android,Pr100025,2,1
U100110,4,7,447,Pr100811,Windows,Pr100811,3,2
U100111,0,0,348,Product101,Windows,Product101,0,0
U100112,3,3,71,pr100210,Android,pr100210,2,0
U100113,1,7,163,pr100044,Windows,pr100044,3,7
U100115,1,12,50,pr100898,"mac os x",Pr100997,3,35
U100116,0,0,48,Product101,"Mac OS X",Product101,0,0
U100117,0,0,161,Product101,Android,Product101,0,0
U100118,4,9,116,Pr100123,Windows,Product101,14,12
U100119,1,1,796,Pr100146,Windows,Pr100146,1,0
U100122,0,0,59,pr100885,Windows,pr100885,0,0
U100123,1,1,244,pr100876,"Mac OS X",pr100876,1,0
U100125,1,3,547,Pr102519,Android,Pr102519,1,0
U100126,1,2,82,pr101686,Android,pr101686,1,0
U100127,0,0,122,Product101,iOS,Product101,0,0
U100129,1,1,788,Pr100137,"Mac OS X",Pr100137,1,1
U100130,1,1,60,Pr100102,Windows,Pr100102,2,0
U100131,1,1,109,Pr100073,Android,Pr100073,1,0
U100132,1,2,77,Pr100019,Windows,Pr100019,0,2
U100134,2,10,485,Pr100498,Windows,pr101934,3,0
U100136,4,13,155,Pr100055,Windows,Pr100055,16,47
U100137,0,1,48,Pr100469,Windows,Pr100469,0,0
U100138,3,7,141,pr100060,Windows,pr100060,6,7
U100139,3,8,321,Pr100051,Windows,Pr100051,6,2
U100141,2,6,57,Pr100316,Windows,Pr100316,4,8
U100142,2,5,455,Pr100017,Windows,Pr100162,4,4
U100144,0,4,66,pr100013,Windows,pr100013,0,0
U100145,6,9,112,pr100390,"Mac OS X",pr100390,12,29
U100146,0,1,116,Product101,Android,Product101,0,0
U100149,1,1,296,pr100500,android,pr100500,1,1
U100150,1,2,229,Pr101312,Android,Pr101312,2,0
U100151,3,8,319,Pr100273,Windows,Pr100273,2,7
U100152,2,4,751,pr100758,Windows,pr100758,4,11
U100156,2,3,149,Product101,Android,Product101,0,1
U100157,1,1,157,Pr100355,Windows,Pr100355,1,1
U100158,2,15,1190,pr100557,Windows,pr100557,9,5
U100159,2,3,286,Pr100318,Android,Product101,1,0
U100161,1,2,425,Pr100279,Windows,Pr100279,0,0
U100162,4,7,945,Pr100134,"Mac OS X",pr100593,10,7
U100163,4,13,1545,Pr100811,"Mac OS X",Pr100811,9,10
U100164,5,12,182,pr100044,Windows,pr100044,50,63
U100165,0,0,125,pr100023,Android,pr100023,0,0
U100166,1,2,52,Pr100130,Android,Pr100130,1,0
U100167,6,27,247,pr100044,Windows,pr100044,20,17
U100168,3,6,993,pr100017,Android,pr100017,3,2
U100169,4,6,235,Pr100044,Windows,Pr100044,3,4
U100170,1,1,63,Pr100279,Windows,Pr100279,1,0
U100171,2,1,110,pr100470,Android,pr100470,3,2
U100173,2,7,43,pr100910,Windows,pr100910,2,2
U100174,5,4,129,Pr100051,Windows,Pr100051,8,3
U100175,2,2,1920,Pr100312,Windows,Pr100312,0,8
U100176,4,14,111,pr103636,Android,pr103636,5,34
U100177,2,8,185,Pr100017,Windows,pr101611,9,5
U100178,1,1,2140,Pr100633,Android,Pr100633,0,1
U100179,2,7,160,pr100017,Windows,Pr100401,10,7
U100180,2,12,84,pr100036,windows,Pr100330,8,8
U100181,2,30,265,pr100089,"Mac OS X",Pr100560,15,0
U100182,0,0,48,pr100317,android,Product101,0,0
U100183,1,1,106,Pr100500,Windows,Pr100500,1,1
U100184,0,3,124,pr100513,Windows,pr100513,0,0
U100185,1,1,109,Product101,Android,Product101,0,0
U100186,0,3,57,Pr100145,Android,Pr100145,0,0
U100187,2,4,334,pr100767,Android,pr100767,4,22
U100188,6,11,203,Pr100014,Windows,pr100307,12,8
U100190,1,1,697,Pr100279,Windows,Pr100279,1,0
U100191,4,7,86,Pr100234,Android,pr100676,8,1
U100192,0,0,121,Pr100017,Windows,pr100166,0,0
U100193,2,7,371,pr100035,Windows,Pr100470,4,20
U100194,1,2,51,pr101111,Android,pr101111,1,0
U100197,0,2,859,Pr100459,"Mac OS X",Pr100459,0,0
U100198,2,7,480,Pr100870,Windows,Pr100870,2,6
U100200,0,1,394,Pr100298,Windows,Pr100298,0,0
U100203,2,3,281,Pr101031,"Mac OS X",Pr101031,3,2
U100204,1,2,323,Pr105130,Windows,Product101,2,4
U100205,4,1,42,Pr100023,Windows,Pr100023,4,5
U100207,2,6,141,Pr100307,Windows,Pr100307,1,1
U100208,1,7,43,Pr100152,"Mac OS X",Pr100152,1,3
U100209,2,5,182,Pr100275,Windows,Pr100275,7,1
U100210,3,12,370,pr101062,Windows,pr101062,3,3
U100211,1,4,52,Pr100945,Android,Pr100945,2,1
U100213,1,2,177,Pr100054,Windows,Pr100054,1,0
U100214,2,2,155,Pr100359,Windows,Pr100359,2,1
U100215,0,0,163,Pr100037,Linux,Pr100037,0,0
U100216,0,1,862,pr100135,"Mac OS X",pr100135,0,0
U100217,1,4,269,Pr100086,"Mac OS X",Pr100086,1,6
U100218,0,1,43,Product101,Android,Product101,0,0
U100219,1,3,435,Pr100316,Windows,Product101,2,1
U100220,4,10,497,Pr100099,Windows,Pr100099,13,123
U100221,4,4,206,Pr100182,Android,Pr100182,6,0
U100223,1,4,355,pr100745,Windows,pr100745,0,78
U100224,1,1,62,pr100039,Android,pr100039,1,0
U100225,0,2,1188,Pr100432,"Mac OS X",Pr100432,0,0
U100226,2,2,160,pr100591,Windows,pr100591,1,4
U100228,1,3,169,Pr100352,Android,Pr100352,1,0
U100229,1,1,63,Pr101273,Android,Pr101273,1,0
U100231,4,11,123,pr100039,Windows,Product101,6,35
U100232,1,5,979,pr100182,Windows,pr100182,2,4
U100233,1,4,238,Pr100152,Windows,Pr100152,2,0
U100234,2,2,363,Pr100014,Windows,Pr100113,4,2
U100235,2,1,1078,Pr100438,Windows,Pr100438,2,1
U100236,0,1,263,Pr100258,Android,Pr100258,0,0
U100238,0,2,276,pr100041,Windows,pr100102,0,0
U100239,1,5,2047,pr100630,Linux,pr100630,1,0
U100241,0,2,74,Pr100166,Android,Pr100166,0,0
U100242,2,5,54,pr100593,Android,pr100593,4,12
U100243,6,25,322,Pr100123,Android,Pr100673,26,15
U100245,4,14,1866,Pr100014,Android,Product101,23,18
U100246,3,2,307,Pr100975,Android,Pr100975,3,0
U100248,3,4,1077,pr100316,Android,pr100316,4,0
U100249,1,1,425,Pr100788,Android,Pr100788,1,1
U100250,1,7,47,Pr100079,Windows,pr100534,0,2
U100251,2,2,1453,pr100118,Windows,pr100118,3,0
U100255,6,6,73,pr100051,"Mac OS X",pr100051,12,5
U100256,0,0,900,pr100413,Android,pr100413,0,0
U100257,1,1,100,pr100401,Windows,pr100401,1,2
U100258,1,5,210,Pr100044,Windows,Pr100044,2,3
U100259,4,15,1975,pr100025,Android,pr100025,13,1
U100260,2,2,86,Pr100369,android,Product101,2,0
U100261,0,5,656,Pr100017,Windows,pr100241,0,0
U100262,1,1,49,Pr100719,Windows,Product101,1,0
U100263,1,1,126,Pr100102,Android,Pr100486,0,1
U100264,5,2,308,pr101637,Android,pr101637,6,0
U100265,1,4,547,pr100010,Android,pr100010,1,0
U100266,2,9,102,pr100153,Windows,pr100153,2,1
U100267,4,25,185,pr101042,Windows,Pr101452,62,845
U100268,5,10,934,Pr100960,windows,Pr100960,14,9
U100269,1,2,NULL,Pr100997,iOS,Pr100997,2,1
U100270,1,2,450,Pr100138,windows,Pr100138,1,0
U100271,0,1,517,pr100226,Android,pr100226,0,0
U100272,2,2,70,Pr100498,Android,Pr100498,2,3
U100273,3,16,128,Pr100060,Windows,Product101,3,5
U100274,6,11,186,Pr100014,Windows,Pr100166,18,6
U100275,1,2,767,Pr101680,Android,Pr101680,1,1
U100276,0,22,556,pr100483,Windows,pr100483,0,0
U100277,0,0,210,Pr100060,Windows,Pr100060,0,0
U100278,3,3,664,Pr100039,Android,Pr100039,4,0
U100279,5,6,192,pr100702,Windows,pr100702,9,44
U100280,0,0,117,pr100340,windows,pr100340,0,0
U100281,0,2,836,Pr100806,Android,Pr100806,0,0
U100282,0,4,58,Pr100126,Windows,Pr100126,0,0
U100283,0,0,296,Product101,Windows,Product101,0,0
U100284,1,2,52,Pr100039,Android,Pr100039,1,0
U100286,0,1,836,Product101,Linux,Product101,0,0
U100288,2,2,71,Pr100039,Android,Pr100039,2,0
U100290,1,2,148,Pr100137,"Mac OS X",Pr100137,0,11
U100291,3,4,47,pr100466,Windows,pr100466,2,1
U100292,1,5,105,Pr100301,Windows,Pr100301,2,2
U100293,1,6,369,pr100431,Windows,pr100431,0,2
U100294,0,4,319,Pr100416,Windows,Pr100416,0,0
U100295,1,3,727,Pr100166,Windows,Pr100166,1,1
U100297,4,12,928,pr100206,Windows,pr100206,9,1
U100298,1,2,52,Product101,Windows,Product101,1,17
U100300,0,1,416,Product101,Android,Product101,0,0
U100301,2,10,858,Pr100051,Windows,Pr101169,9,10
U100302,7,47,1026,pr100035,"Mac OS X",Pr100370,32,28
U100303,1,1,122,pr100072,Windows,Product101,1,0
U100304,3,6,93,Pr100097,"Mac OS X",Pr100097,6,30
U100305,2,2,638,Pr100308,Windows,Pr100308,2,1
U100306,1,1,214,Pr100000,"Mac OS X",Pr100000,1,0
U100308,0,0,1499,Product101,"Mac OS X",Product101,0,0
U100309,3,5,44,pr100102,Android,pr100102,2,18
U100310,7,5,734,Pr100113,Windows,Pr100113,6,125
U100311,0,2,286,Pr100340,"Mac OS X",Pr100340,0,0
U100313,0,2,1037,Pr100017,Windows,Pr100017,0,0
U100315,5,8,570,Pr100044,Windows,Pr100044,4,4
U100316,4,11,71,Pr100187,windows,Pr100187,9,15
U100317,0,1,1725,Pr100166,Windows,Pr100166,0,0
U100318,3,3,733,Pr101273,Windows,Pr101273,4,0
U100319,2,5,2029,Pr100098,Android,Pr100098,4,0
U100321,2,5,48,Pr100615,Windows,Pr100615,2,1
U100323,3,2,373,pr101483,Windows,pr101483,3,3
U100324,1,1,61,Pr100401,Android,Pr100401,1,1
U100328,1,1,78,Pr100430,Android,Pr100430,3,0
U100329,2,5,290,Pr100017,"Mac OS X",Pr100017,3,10
U100330,0,1,212,Pr100020,Windows,Pr100020,0,0
U100331,1,1,86,Pr100039,Android,Pr100039,1,1
U100333,1,2,389,Pr100041,Windows,Pr100041,1,0
U100334,1,2,NULL,Pr102194,windows,Pr102194,1,2
U100336,0,2,76,Pr100017,Windows,Pr100017,0,0
U100337,1,10,174,pr100017,Windows,Product101,1,1
U100338,1,2,660,Pr100498,Android,Pr100498,2,0
U100340,0,0,1040,Product101,"Mac OS X",Product101,0,0
U100341,1,5,2256,pr100035,Windows,pr100035,1,0
U100342,0,6,672,Pr100017,Windows,Product101,0,0
U100343,1,4,132,Pr101141,windows,Pr101141,1,1
U100344,0,1,95,Pr100017,windows,Pr100017,0,0
U100345,1,1,43,Product101,Windows,Product101,0,1
U100346,3,5,1767,pr101761,Windows,pr101761,5,0
U100347,7,69,340,Pr100044,"Mac OS X",Pr100044,333,6253
U100349,2,3,818,Pr100130,Windows,Pr100130,1,1
U100351,6,19,369,Pr100119,Windows,pr100962,19,155
U100352,0,0,386,Product101,windows,Product101,0,0
U100353,3,10,153,Pr101911,Windows,Pr101911,3,6
U100354,5,18,803,pr100166,Windows,pr100390,39,69
U100355,2,1,435,Pr100676,Android,Pr100676,3,0
U100356,0,0,78,Pr100023,Android,Pr100023,0,0
U100358,2,2,199,Pr100102,Android,Pr100102,3,0
U100359,1,1,359,Pr101422,Windows,Pr101422,1,1
U100360,1,2,520,Pr100938,Android,Pr100938,2,0
U100362,0,1,1109,pr100753,Windows,pr100753,0,0
U100363,2,2,83,Pr100073,Android,Pr100073,2,0
U100364,0,1,309,Product101,Windows,Product101,0,0
U100365,2,6,534,pr100044,Windows,pr100044,7,5
U100366,1,3,1582,Pr100119,Windows,Product101,2,0
U100367,2,7,956,Pr102165,Windows,Pr102165,3,0
U100368,0,0,56,Pr100321,Windows,Pr100321,0,0
U100369,0,4,349,pr100064,Windows,pr100064,0,0
U100370,2,3,108,Pr100312,Windows,Pr100312,5,0
U100371,0,1,79,Product101,Android,Product101,0,0
U100372,1,1,821,pr100676,Android,pr100676,1,0
U100374,6,2,95,Pr100166,Windows,Pr100166,35,0
U100375,1,1,48,Pr100366,Windows,Pr100366,0,0
U100376,1,1,1654,Product101,Windows,Product101,0,0
U100377,3,18,677,pr100743,Windows,pr100743,3,24
U100378,1,1,291,Pr100044,Android,Pr100044,1,0
U100379,1,3,1121,Pr100102,Android,Pr100102,0,2
U100380,4,2,717,Pr100036,android,Pr100036,5,1
U100381,4,6,49,Pr101490,Windows,Pr101490,12,123
U100382,6,23,117,Pr101355,Windows,Pr101355,10,50
U100383,5,12,177,pr100025,Android,Pr100098,9,1
U100384,0,4,56,Pr100020,windows,pr100086,0,0
U100386,2,2,319,Pr100771,Windows,Pr100771,2,0
U100387,4,9,102,pr100097,"Mac OS X",pr100097,6,7
U100388,3,5,54,pr100182,Android,pr100182,4,0
U100389,1,2,77,Pr100654,Linux,Pr100654,1,0
U100390,4,20,78,pr100515,Windows,pr100515,23,24
U100391,4,5,67,Pr100200,windows,Pr100200,4,5
U100394,4,7,213,Pr100152,ubuntu,Pr100152,2,4
U100396,3,5,407,Pr100692,Windows,Pr100692,3,0
U100397,0,0,115,pr101865,Windows,pr101865,0,0
U100398,6,30,666,pr101746,Windows,pr101746,19,30
U100399,2,2,592,Pr100369,Android,Pr100369,2,1
U100400,2,1,90,Pr100036,Windows,Pr100036,1,0
U100401,0,3,1147,Pr100498,Windows,Pr100498,0,0
U100402,1,1,69,Pr100612,Linux,Pr100612,1,0
U100403,0,2,58,Pr100141,Android,Pr100141,0,0
U100405,5,18,177,Pr100182,Windows,pr100477,14,3
U100406,3,3,52,Pr100025,Android,Pr100025,2,1
U100407,1,10,641,Pr100044,Windows,Product101,3,4
U100408,0,1,1198,Product101,Windows,Product101,0,0
U100409,0,2,105,Pr100102,Windows,Pr100102,0,0
U100410,6,19,872,pr100232,Windows,pr100232,31,197
U100411,3,7,2256,Pr100200,Windows,Pr100200,2,12
U100412,1,2,306,Pr101216,Windows,Pr101216,1,0
U100413,2,8,382,Pr100017,Android,pr101554,9,8
U100414,1,3,89,Pr100352,Android,Pr100352,2,1
U100415,2,4,60,Pr100551,Windows,Pr100551,1,13
U100416,1,1,387,Pr100039,Android,Pr100039,1,0
U100417,3,3,192,Pr100350,Windows,Pr100350,3,0
U100418,4,3,1754,Pr100390,Windows,Product101,5,0
U100420,4,6,73,Pr100792,Windows,Pr100792,8,0
U100421,1,2,53,Pr100258,Android,Pr100258,0,0
U100422,1,1,291,Pr100560,Windows,Pr100560,1,0
U100423,6,9,310,Pr100123,Windows,Pr100123,18,15
U100425,3,10,81,pr100166,Windows,Pr100390,7,8
U100427,1,3,48,pr100070,"mac os x",pr100070,1,1
U100428,1,1,1108,Pr100200,Android,Pr100200,1,3
U100429,1,1,623,Pr100047,Windows,Pr100047,1,0
U100430,1,1,78,Product101,Windows,Product101,2,2
U100431,0,0,52,Pr100661,Windows,Pr100661,0,0
U100433,3,4,53,Pr100182,Android,Pr100182,2,0
U100434,2,7,576,Pr101166,windows,Pr101166,5,28
U100435,0,0,382,Pr100153,Android,Pr100153,0,0
U100436,2,3,1518,Pr100102,Android,Pr100102,6,0
U100439,4,2,167,Pr100515,Ubuntu,Pr100515,7,0
U100440,1,1,121,Pr101211,Ubuntu,Pr101211,1,1
U100441,0,2,1540,Pr100130,Windows,Pr100130,0,0
U100443,5,4,326,Pr100166,Windows,Pr100166,18,13
U100445,0,2,60,pr100017,Android,pr100017,0,0
U100446,1,2,223,Pr102519,android,Pr102519,1,0
U100447,3,6,449,Pr100446,Windows,Product101,7,0
U100449,5,7,416,pr100166,Windows,pr100166,6,13
U100450,5,3,244,Pr100225,Windows,Pr100225,8,6
U100451,0,1,326,pr100106,Windows,pr100106,0,0
U100452,1,2,209,Pr100121,Android,Pr100121,2,0
U100453,1,3,313,pr100166,Linux,pr100166,2,3
U100454,3,98,239,pr100051,Windows,Pr101309,15,17
U100455,2,3,229,Pr100743,Android,Pr100743,3,1
U100457,2,4,189,Pr100194,Windows,Pr100194,0,42
U100458,1,1,761,pr100321,Android,pr100321,1,0
U100459,2,4,66,Pr100025,Android,Pr100025,3,1
U100460,2,8,128,Pr100044,Windows,Product101,13,19
U100461,4,2,50,Pr100060,Windows,Pr100060,8,2
U100462,0,0,1195,Pr100675,Android,Pr100675,0,0
U100463,2,3,78,pr100190,Windows,pr100190,2,9
U100464,0,30,267,Pr100123,Windows,Pr101264,0,0
U100465,4,8,481,pr100166,Windows,Pr100390,11,6
U100466,1,2,812,Pr101609,Android,Pr101609,0,0
U100467,2,4,95,Pr100102,Windows,Product101,1,4
U100469,0,0,88,Product101,Windows,Product101,0,0
U100470,0,1,354,Product101,Windows,Product101,0,0
U100471,4,10,142,Pr100152,Windows,Pr100152,6,2
U100472,1,1,85,Pr100054,"Mac OS X",Pr100054,1,0
U100473,2,7,294,Pr100430,Windows,Pr100606,2,9
U100474,1,6,89,Pr100244,Windows,pr100483,3,4
U100475,6,3,744,Pr101679,Android,Pr101679,7,0
U100476,1,3,389,Pr100039,Android,Pr100039,1,0
U100477,2,5,1023,Pr100654,windows,Pr100654,1,1
U100478,1,3,889,pr100994,Windows,pr100994,2,0
U100480,1,8,1424,pr100017,Windows,pr100460,10,5
U100482,0,0,370,Product101,Windows,Product101,0,0
U100483,0,6,NULL,Pr100166,Windows,pr103424,0,0
U100485,0,4,304,Pr100166,Windows,Product101,0,0
U100486,0,1,142,Pr100166,Windows,Pr100166,0,0
U100487,1,4,156,Pr100144,Windows,Pr100144,2,7
U100489,0,4,271,Pr100166,Windows,Pr100166,0,0
U100490,1,1,55,Pr100054,Linux,Pr100054,1,0
U100492,3,29,145,Pr100097,Windows,Pr100097,15,50
U100493,0,0,62,Pr100302,Windows,Pr100302,0,0
U100494,2,4,315,pr100436,"mac os x",pr100436,1,15
U100495,0,3,105,pr100108,android,pr103508,0,0
U100496,3,3,NULL,pr100758,Windows,pr100758,4,17
U100497,0,1,64,Pr101421,Android,Pr101421,0,0
U100498,0,0,145,Pr100142,Windows,Pr100166,0,0
U100499,7,51,474,pr100051,Windows,pr100051,122,2247
U100500,1,9,NULL,pr100017,android,Pr100166,8,17
U100501,2,7,57,pr100050,Windows,Product101,3,5
U100502,1,2,74,pr101104,Windows,pr101104,1,0
U100503,6,19,168,pr100363,Windows,Pr101822,72,940
U100504,1,8,808,Pr100023,Windows,Pr100023,7,5
U100506,3,2,114,Pr100340,Android,Product101,3,1
U100507,2,3,296,Pr100642,Windows,Pr100642,1,5
U100508,1,1,300,Product101,Android,Product101,0,1
U100509,1,5,2256,Pr100070,Windows,Pr100070,6,23
U100510,0,3,379,pr101261,Android,pr101261,0,0
U100511,0,1,1803,Product101,"Mac OS X",Product101,0,0
U100512,0,0,210,Pr100321,Windows,Pr100321,0,0
U100513,0,1,194,pr100348,Windows,pr100348,0,0
U100514,0,1,1445,pr100324,Android,pr100324,0,0
U100515,0,2,436,pr101121,Android,Product101,0,0
U100516,3,10,2256,Pr101515,Windows,Pr101515,7,3
U100517,2,7,1171,Pr100595,Windows,Pr100595,4,0
U100518,0,0,62,Product101,Windows,Product101,0,0
U100519,2,2,179,pr100417,Windows,pr100417,2,3
U100523,1,1,82,Pr100088,Windows,Pr100088,1,2
U100524,1,1,99,Pr100872,Android,Pr100872,1,0
U100525,0,0,1443,Product101,Windows,Product101,0,0
U100526,3,3,227,Pr100263,"Mac OS X",Pr100263,3,0
U100527,1,6,714,pr100390,Windows,pr100390,1,3
U100528,1,3,90,pr100430,Android,pr100430,1,0
U100529,0,2,49,Pr100051,Android,Pr100051,0,0
U100530,2,3,112,Pr100352,Android,Pr100352,2,4
U100531,1,2,327,Pr100108,Windows,Pr100108,1,0
U100533,4,4,631,Pr100467,Linux,Pr100467,5,0
U100535,0,2,71,pr100113,"Mac OS X",Pr100850,0,0
U100536,1,1,522,Pr100102,Android,Pr100102,1,0
U100537,0,0,398,Pr100102,Windows,Pr100102,0,0
U100539,0,0,94,pr100083,Windows,pr100432,0,0
U100541,1,2,100,pr100102,Windows,pr100102,1,1
U100542,5,4,1940,pr101611,Android,pr101611,15,5
U100543,1,6,1093,Pr100054,Windows,Pr100054,0,3
U100544,1,1,185,pr100613,Windows,pr100613,1,1
U100545,2,2,63,pr100986,Android,pr100986,2,0
U100548,0,2,124,Product101,Windows,Product101,0,0
U100549,2,3,57,pr100871,Android,pr100871,3,0
U100550,3,10,1090,pr100722,Android,pr100722,5,0
U100552,0,1,111,Pr100166,Android,Pr100166,0,0
U100553,3,4,1235,Pr101923,Windows,Pr101923,2,4
U100554,1,5,85,pr100234,Android,pr100962,3,2
U100555,2,3,215,pr100430,Android,pr100430,1,0
U100556,1,1,121,Product101,Android,Product101,0,6
U100558,1,5,129,Pr100040,Windows,Product101,5,13
U100559,1,2,620,Pr100417,Windows,Pr100417,0,2
U100560,2,2,300,Pr101735,Windows,Pr101735,2,0
U100561,5,5,250,Pr100166,Windows,Pr100390,18,23
U100562,3,6,86,Pr100025,Android,Pr100025,4,2
U100564,1,1,2256,pr100206,Windows,pr100206,2,1
U100565,0,1,1272,pr100819,"Mac OS X",pr100819,0,0
U100566,4,10,67,Pr100070,windows,Pr100070,9,18
U100567,0,0,202,Product101,Android,Product101,0,0
U100570,6,17,579,pr100102,windows,pr100291,19,8
U100571,1,3,145,Pr100962,Android,Pr100962,1,0
U100572,1,4,216,Pr100258,Windows,Pr100258,0,1
U100573,1,2,602,pr100050,Windows,pr100050,3,6
U100575,1,7,339,Pr100145,"Mac OS X",Pr100145,5,5
U100576,0,0,1081,pr100017,Windows,Pr100219,0,0
U100577,0,0,111,Pr100631,Android,Pr100631,0,0
U100578,4,13,437,Pr100400,Android,pr100994,3,3
U100579,2,5,1040,pr100166,Windows,Pr100495,5,1
U100580,0,1,97,Pr100513,Windows,Pr100513,0,0
U100582,0,1,528,Pr100250,Android,Pr100250,0,0
